Sign,H1 FingerSelection,H1 Aperture,H1 Curve,H1 Bent,H1 Facing,H1 Focus,H1 Width,Dynamic Orientation,Location,Plane,Settings,Path,H2 FingerSelection,H2 Aperture,H2 Curve,H2 Bent,H2 Width,H2 Facing,H2 Focus,Manner,H1 Focus_2,H1 Facing_2
гореть,1-st; 2-nd; 3-rd,absent,straight,straight,root,tips,wide,absent,space,horisontal,low-high,vawe,absent,absent,absent,absent,absent,absent,absent,symmetrical; alternating,,
разрыдаться,all,closed-open,curved-straight,absent,palm,tips,pointed-wide,absent,head-high,absent,near-far,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical; tense,,
хоронить,all,absent,curved,bent,palm,palm,pointed,absent,virtual object; space,horisontal,high-low,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical; crossed,,
покупать,all,closed,straight,bent,tips,back,pointed,absent,hand-palm,horisontal,proxi-distal,sraight,absent,absent,absent,absent,absent,back,absent,repeated,,
требовать,1-st,absent,straight,straight,tips,tips,absent,absent,space,horisontal,distal-proxi,arc,absent,absent,absent,absent,absent,absent,absent,tense,,
не мочь,all,absent,straight,straight,radial,radial,pointed,absent,trunk,absent,far-near,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
не мочь,all,absent,straight,straight,radial,radial,pointed,absent,trunk,absent,far-near,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
капитулировать,all,absent,straight,straight,absent,back,pointed,absent,space,parallel,iconic,iconic,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
опрокидывать,absent,open-closed,straight,bent,palm,absent,wide-pointed,prone-supine,virtual object; space,horisontal,absent,absent,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
забота,all,absent,curved,bent,palm,palm,wide,absent,virtual object; space,horisontal,far-near,arc,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
multiply,absent,absent,absent,absent,absent,absent,absent,absent,space,parallel,ipsi-contra,sraight,absent,absent,absent,absent,absent,absent,absent,repeated,,
ласкать,all,absent,absent,straight-bent,tips,palm,absent,absent,hand-back,horisontal,distal-proxi,sraight,absent,absent,absent,absent,absent,palm,absent,repeated,,
нести,absent,absent,absent,absent,back,root,absent,absent,virtual object; space,horisontal,low-high,sraight,absent,absent,absent,absent,absent,absent,absent,repeated,,
швырять,all,closed-open,absent,absent,palm,tips,pointed-wide,forward-neutral,space; virtual object,horisontal,proxi-distal,sraight,absent,absent,absent,absent,absent,absent,absent,tense,,
менять,1-st; 2-nd,absent,straight,straight,absent,absent,wide,prone-supine,space,absent,absent,absent,absent,absent,absent,absent,absent,absent,absent,symmetrical; crossed,,
голос,1-st,absent,straight,straight,tips,tips,absent,absent,neck,absent,far-near,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
музыка,all,absent,straight,straight,palm,radial,pointed,absent,space,parallel,ipsi-contra,arc,absent,absent,absent,absent,absent,absent,absent,symmetrical; crossed; repeated; alternating; biderectional,,
преследовать,thumb,absent,absent,absent,tips,tips,absent,absent,hand-classifier; space,horisontal,far-near,spiral,thumb,absent,absent,absent,absent,ulnar,absent,symmetrical,,ulnar
болтать,all,absent,straight,bent-straight,root,tips,wide,absent,head-low; space,horisontal,x-y,absent,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical; alternating,,
обманывать,1-st; 4-th,absent,straight,straight,palm,tips,absent,absent,hand-narrow; space,horisontal,x-y,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
выбирать,1-st,closed,curved,absent,tips,back,absent,absent,hand-classifier; space,sagittal,distal-proxi,sraight,1-st; 2-nd; 3-rd; 4-th,absent,straight,straight,pointed,back,absent,repeated,,
чистить,all,absent,straight,straight,palm,ulnar,pointed,absent,hand-palm,horisontal,proxi-distal,sraight,absent,absent,absent,absent,absent,back,absent,repeated; biderectional,,
очищать,all,absent,straight,straight,palm,ulnar,pointed,absent,hand-palm,horisontal,proxi-distal,sraight,absent,absent,absent,absent,absent,back,absent,tense,,
карабкаться,all,absent,curved,straight,palm,tips,wide,absent,virtual object; space,parallel,low-high,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical; repeated; alternating,,
совпадать,1-st,absent,straight,straight,palm,tips,absent,absent,space,parallel,ipsi-contra,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical; repeated,,
рухнуть,1-st; 2-nd,absent,straight,straight,back,tips,wide,prone-supine,hand-palm,horisontal,far-near,circle-clock,absent,absent,absent,absent,absent,absent,absent,absent,,
приходить,1-st; 2-nd,absent,curved,straight,palm,tips,wide,supine-prone,hand-narrow,parallel,far-near,arc,absent,absent,absent,absent,absent,absent,absent,absent,,
согласиться,1-st; thumb,absent,straight,straight,ulnar,tips,absent,absent,space,horisontal,proxi-distal,arc,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
начинать,1-st,absent,straight,straight,radial,tips,absent,absent,hand-palm,parallel,low-high,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
совершать,all,absent,straight,straight,ulnar,ulnar,pointed,absent,hand-palm,horisontal,far-near,sraight,absent,absent,absent,absent,absent,back,absent,tense,,
общаться,all,absent,straight,straight,palm,palm,pointed,absent,space,horisontal,distal-proxi,sraight,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical; alternating; biderectional,,
сопоставлять,1-st,absent,straight,straight,back,tips,absent,absent,space,parallel,ipsi-contra; high-low,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical; repeated,,
думать,1-st,absent,straight,straight,palm,tips,absent,absent,head-high,absent,far-near,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
ясно,all,absent,straight,straight,palm,root,wide,absent,virtual object; space,horisontal,distal-proxi,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical; tense,,
учить,1-st; 2-nd,closed,straight,bent,radial,tips,pointed,absent,head-high,absent,ipsi-contra,arc,absent,absent,absent,absent,absent,absent,absent,repeated,,
проникать,all,absent,straight,straight,palm,tips,wide,absent,hand-palm,sagittal,proxi-distal,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical; laceration,,
концентрироваться,all,absent,straight,straight,palm,tips,pointed,absent,head,absent,near-far,sraight,absent,absent,absent,absent,absent,absent,absent,symmetrical; tense,,
беспокоиться,all,open,curved,straight,palm,radial,pointed,absent,trunk,absent,low-high,sraight,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical; alternating,,
судить,1-st,closed,curved,absent,ulnar,radial,absent,absent,space,horisontal,low-high,sraight,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical; alternating; biderectional,,
подтверждать,absent,absent,absent,absent,ulnar,ulnar,absent,absent,hand-palm,horisontal,near-far,sraight,absent,absent,absent,absent,absent,absent,absent,absent,,
здравствуйте,all,absent,absent,absent,tips,radial,pointed,absent,trunk,absent,low-high,sraight,absent,absent,absent,absent,absent,absent,absent,repeated; symmetrical,,
давать,all,open,straight,straight,ulnar,radial,pointed,absent,trunk,absent,near-far,arc,absent,absent,absent,absent,absent,absent,absent,symmetrical,,
